Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
34;   ;2021;;Projeto de Lei;;Cida Oliveira;;Dispõe sobre a Gestão de Leitos hospitalares no município de Juiz de Fora para Unificação da Fila Emergencial para pacientes com a COVID-19, abrangendo os sistemas público e privado, a fim de assegurar a utilização, controle e gerenciamento pelo Sistema Único de Saúde de toda capacidade hospitalar instalada na cidade, com o objetivo de garantir acesso universal e igualitário à rede hospitalar frente à pandemia do novo coronavírus.;;Em Tramitação
;;;;;;;;;;
33;   ;2021;;Projeto de Lei;;Sargento Mello Casal, André Luiz, Dr. Antônio Aguiar, Bejani Júnior, Zé Márcio, João Wagner, Julinho Rossignoli, Kátia Franco Protetora, Pardal, Marlon Siqueira, Maurício Delgado, Nilton Militão, Tiago Bonecão;;“Considera serviços essenciais as atividades educacionais de ensino no Município de Juiz de Fora, em situação de emergência ou estado de calamidade em decorrência de crise sanitária ou de saúde pública.”;;Em Tramitação
;;;;;;;;;;
32;   ;2021;;Projeto de Lei;;Nilton Militão;;Dispõe sobre a Campanha de Combate aos Golpes Financeiros praticados contra idosos no município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
31;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Dispõe sobre a disponibilização e utilização de pulseira com “Código QR” para identificação e segurança das pessoas idosas e portadores de patologias mentais ou outras doenças que o Executivo determinar e dá outras providências.;;Arquivada
;;;;;;;;;;
30;   ;2021;;Projeto de Lei;;Maurício Delgado;;Dispõe sobre a publicação em sítio da rede mundial de computadores da lista cronológica de espera para consultas comuns ou especializadas, exames, cirurgias e quaisquer outros procedimentos ou ações de saúde agendadas pelos cidadãos no Município, estabelece penalidades em caso de inobservância e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
29;   ;2021;;Projeto de Lei;;Cida Oliveira;;Dispõe sobre a realização periódica em toda a população de Juiz de Fora do teste RT-PCR ou teste de antígeno para identificar a COVID-19 e dá outras providências.;;Em Tramitação
;;;;;;;;;;
28;   ;2021;;Projeto de Lei;;Cido Reis;;Dispõe sobre denominação de logradouro público (Marcy Deotty Ibrahim);;Transformado em Norma Jurídica
;;;;;;;;;;
27;   ;2021;;Projeto de Lei;;Tiago Bonecão;;Institui o Projeto Pintando o Futuro e da outras providências.;;Arquivada
;;;;;;;;;;
26;   ;2021;;Projeto de Lei;;Sargento Mello Casal;;Altera dispositivo da lei municipal 14.107 de 28 de outubro de 2020.;;Em Tramitação
;;;;;;;;;;
25;   ;2021;;Projeto de Lei;;André Luiz;;Penaliza o ato de fraudar a ordem de preferência dos grupos prioritários na imunização contra pandemias;;Transformado em Norma Jurídica
;;;;;;;;;;
24;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Institui a campanha bimestral de Doação de Sangue no município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
23;   ;2021;;Projeto de Lei;;João Wagner;;Dispõe sobre a denominação de Próprio Municipal (Creche Comunitária João Batista da Silva);;Transformado em Norma Jurídica
;;;;;;;;;;
22;   ;2021;;Projeto de Lei;;João Wagner;;Dispõe sobre a denominação de Próprio Municipal (Creche Comunitária Doutor Ivan Gaudereto de Abreu);;Transformado em Norma Jurídica
;;;;;;;;;;
21;   ;2021;;Projeto de Lei;;Nilton Militão;;Declara como essenciais os serviços prestados por Centros de Formação de Condutores (auto escolas) e similares e dá outras providências.;;Em Tramitação
;;;;;;;;;;
20;   ;2021;;Projeto de Lei;;Juraci Scheffer;;Altera a Lei n° 6.910, de 31 de maio de 1986 e a e Lei Complementar nº 6, de 27 de novembro de 2013;;Arquivada
;;;;;;;;;;
19;   ;2021;;Projeto de Lei;;Dr. Antônio Aguiar;;Declara como essenciais as atividades prestadas pelas Bancas de Jornais e similares e dá outras providências.;;Em Tramitação
;;;;;;;;;;
18;   ;2021;;Projeto de Lei;;Sargento Mello Casal;;Declara como essenciais as atividades de comércio, fornecimento e consumo de alimentos fora do lar no Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
17;   ;2021;;Projeto de Lei;;Sargento Mello Casal;;Suspende as atividades festivas públicas no âmbito do município de Juiz de Fora.;;Arquivada
;;;;;;;;;;
16;   ;2021;;Projeto de Lei;;Kátia Franco Protetora;;Altera a Lei 12.235 de 13 de novembro de 2015 que dispõe sobre a proibição da queima, soltura e manuseio de fogos de artifício e artefatos pirotécnicos de alto impacto ou com efeitos de tiro com potencial de produzir danos à saúde e a vida, em espaço público no Município de Juiz de Fora e dá outras providências.;;Arquivada
;;;;;;;;;;
15;   ;2021;;Projeto de Lei;;Bejani Júnior;;Declara de Utilidade Pública Municipal a entidade que menciona. (Associação Projeto Viver em Cristo) (Associação Projeto Viver Em Cristo);;Transformado em Norma Jurídica
;;;;;;;;;;
14;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre a suspensão da cobrança de tributos municipais e interrupção dos parcelamentos ativos desses tributos por 120 (cento e vinte dias), dos estabelecimentos comerciais e de ensino que ficaram restritos de funcionar durante a onda amarela e vermelha do Minas Consciente.;;Em Tramitação
;;;;;;;;;;
13;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;“Institui o período nos meses de abril a julho a saúde oftalmológica nas escolas do ensino fundamental, do município de Juiz de Fora”.;;Arquivada
;;;;;;;;;;
12;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;“Dispõe sobre a Estratégia para o retorno seguro às aulas no âmbito do enfrentamento da pandemia do coronavírus (Covid-19)”.;;Arquivada
;;;;;;;;;;
11;   ;2021;;Projeto de Lei;;André Luiz;;Altera a Lei no 9.666, de 13 de dezembro de 1999, que “Dispõe sobre a função pública de Conselheiro Tutelar do Município de Juiz de Fora”, bem como dá outras providências.;;Arquivada
;;;;;;;;;;
10;   ;2021;;Projeto de Lei;;Laiz Perrut;;Institui a utilização do nome social no município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
9;   ;2021;;Projeto de Lei;;Cida Oliveira;;Dispõe sobre a equiparação da licença maternidade ás trabalhadoras de empresas terceirizadas contratadas pelo Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
8;   ;2021;;Projeto de Lei;;Bejani Júnior;;Institui o Programa Municipal Adote Um Ponto de Ônibus.;;Em Tramitação
;;;;;;;;;;
7;   ;2021;;Projeto de Lei;;Vagner de Oliveira, André Luiz, Dr. Antônio Aguiar, Cido Reis, Bejani Júnior, Sargento Mello Casal, Zé Márcio, João Wagner, Julinho Rossignoli, Kátia Franco Protetora, Pardal, Marlon Siqueira, Maurício Delgado, Nilton Militão, Tiago Bonecão;;Concede título de Cidadão Honorário de Juiz de Fora a Romeu Zema Neto (Romeu Zema Neto);;Arquivada
;;;;;;;;;;
6;   ;2021;;Projeto de Lei;;Bejani Júnior, João Wagner, Julinho Rossignoli, Tiago Bonecão;;Inclui o § 5º do art. 4° da Lei 13.473/2016.;;Em Tramitação
;;;;;;;;;;
5;   ;2021;;Projeto de Lei;;Bejani Júnior;;Institui no Município de Juiz de Fora Dia Municipal do Influenciador Digital.;;Em Tramitação
;;;;;;;;;;
4;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre Concessão de isenção de pagamento de IPTU a imóveis e edificações atingidos por enchentes e alagamentos causados pelas chuvas ocorridas no município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
3;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Regulamenta a identificação dos terrenos públicos pertencentes ao município de Juiz de Fora.;;Transformado em Norma Jurídica
;;;;;;;;;;
2;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Dispõe sobre Saúde Bucal das pessoas idosas no âmbito do município de Juiz de Fora.;;Arquivada
;;;;;;;;;;
1;   ;2021;;Projeto de Lei;;Juraci Scheffer;;Altera e acrescenta dispositivos na Lei Municipal n. 14.138, de 21 de dezembro de 2020, que Dispõe sobre o direito de preferência à vacinação contra a covid-19 (novo coronavírus), no Município de Juiz de Fora, às pessoas prioritárias e inclusas no grupo de risco que menciona;;Transformado em Norma Jurídica
;;;;;;;;;;
136;   ;2020;;Projeto de Lei;;Wanderson Castelar;;Dispõe sobre a denominação de próprio municipal (SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS VANTUIL GOMES NOGUEIRA - SR. TÚLIO E OUTROS);;Arquivada
;;;;;;;;;;
135;   ;2020;;Projeto de Lei;;Júlio Obama Jr.;;Dispõe sobre concessão de Título Cidadão Honorífico. (Fernando Passalio de Avelar.);;Transformado em Norma Jurídica
;;;;;;;;;;
