"","Projeto","...2","Ano","...4","Tipo","...6","Autor","...8","Ementa","...10","Situação"
"628",65,"   ",2019,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Dispõe sobre isenção de cobrança de estacionamento em locais acessíveis de uso comum público, tais como hospitais, clínicas médicas e terapêuticas, farmácias, supermercados, shoppings, casas de shows e teatros a pessoa idosa com mais de 65 anos.",NA,"Transformado em Norma Jurídica"
"629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630",64,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Fiorilo",NA,"Altera o inciso II do art. 5° da Lei n° 12.121, de 17 de setembro de 2010, que Dispõe sobre a comercialização de alimentos nas cantinas, lanchonetes ou similares, dos estabelecimentos da Rede Particular e Pública do Sistema Municipal de Ensino.",NA,"Arquivada"
"631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632",63,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Adriano Miranda",NA,"Declara de Utilidade Pública Municipal a entidade que menciona (Associação Life Projetos Sociais).",NA,"Transformado em Norma Jurídica"
"633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634",62,"   ",2019,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Dispõe sobre a obrigatoriedade de estabelecimentos que não aceitarem cartões de débito ou crédito fixarem, em local visível, placa contendo informação a respeito da não aceitação dessa forma de pagamento.",NA,"Transformado em Norma Jurídica"
"635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636",61,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Fiorilo",NA,"Dispõe sobre a obrigatoriedade de capacitação de, no mínimo, dois funcionários em curso de capacitação como multiplicador de educação para o trânsito, nas Escolas Municipais do Ensino Público e Privado e dá outras providências.",NA,"Arquivada"
"637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638",60,"   ",2019,NA,"Projeto de Lei",NA,"Marlon Siqueira",NA,"Dispõe sobre a instituição no Calendário Oficial do Município de Juiz de Fora o evento que menciona, e dá outras providências.",NA,"Transformado em Norma Jurídica"
"639",59,"   ",2019,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Declara o dia 16 de maio como o Dia Municipal do Gari e dos demais servidores públicos da limpeza urbana no Município de Juiz de Fora.",NA,"Transformado em Norma Jurídica"
"640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641",58,"   ",2019,NA,"Projeto de Lei",NA,"Nilton Militão",NA,"Dispõe sobre a reserva de vagas de estacionamento de Shopping Centers, Centro Comerciais e Hipermercados para Gestantes e Lactantes, no âmbito do Município de Juiz de Fora e dá outras providências.",NA,"Transformado em Norma Jurídica"
"642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643",57,"   ",2019,NA,"Projeto de Lei",NA,"Nilton Militão",NA,"Institui no Calendário Oficial do Município de Juiz de Fora Março Laranja; Mês de Prevenção e Combate ao Bullying Escolar e dá outras providências.",NA,"Transformado em Norma Jurídica"
"644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645",56,"   ",2019,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Institui a Medalha de Inclusão Social através de Políticas Públicas e de Iniciativa Privada Prefeito Tarcísio Delgado.",NA,"Arquivada"
"646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647",55,"   ",2019,NA,"Projeto de Lei",NA,"Marlon Siqueira",NA,"Dispõe sobre o ingresso de animais domésticos nos hospitais do Município de Juiz de Fora, e dá outras providências.",NA,"Em Tramitação"
"648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649",54,"   ",2019,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Dispõe sobre a concessão de Título Honorífico ao ilustríssimo senhor Dr. Renato Luiz Lopes de Castro Lobo.",NA,"Transformado em Norma Jurídica"
"650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651",53,"   ",2019,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Dispõe sobre concessão de Título cidadão Honorífico (Julvan Rezende de Araújo Lacerda).",NA,"Transformado em Norma Jurídica"
"652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",52,"   ",2019,NA,"Projeto de Lei",NA,"Júlio Obama Jr.",NA,"Dispõe sobre concessão de Título cidadão Honorífico (Rosinere França Abbud).",NA,"Transformado em Norma Jurídica"
"654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
